Mean,,Variance
0.2756749264,,9.15E+11
0.6856203037,,3.12E+11
0.647548023,,7.08E+12
0.04206707666,,2.66E+11
0.9381182803,,2.71E+11
0.9847343902,,0
0.6609114424,,1.34E+13
0.8692903352,,1.81E+12
0.9826183627,,1.00E+12
0.8371664355,,1.30E+11
0.6495255343,,40820416718
0.9568790124,,2.11E+12
0.01233553243,,7191124800
0.9646902156,,2.17E+12
0.09433009508,,2.32E+11
0.4528849269,,2.10E+11
0.9217023544,,89349845294
0.4759409812,,4.25E+11
0.7074200832,,0
0.9104964464,,1.45E+13
0.8275767304,,1.04E+12
0.8343592606,,1.06E+12
0.9999997886,,0
0.006705573551,,1.59E+11
0.9847343902,,2.89E+11
0.9943561532,,1.24E+11
0.878485064,,41149572752
0.9932373817,,2.52E+11
0.9938756791,,58376217271
0.9685147242,,1.31E+12
0.9766066701,,6.51E+11
0.9005906823,,1.47E+12
0.9578772286,,0
0.01371422986,,7.67E+11
0.9535100264,,1.91E+11
0.5462117836,,3.00E+12
0.9650750458,,42694263442
0.2781176494,,1.63E+11
0.86701727,,2.02E+12
0.9826805672,,7.72E+11
0.873590329,,3.82E+11
0.7880163315,,8.62E+11
0.999997567,,1.96E+11
0.9055609292,,4.11E+11
0.00000005016120638,,2.78E+11
0.9635380135,,1.65E+11
0.5749257899,,4.47E+12
0.9234299641,,9.31E+11
0.8068925874,,2.13E+11
0.9328853155,,1.66E+12
0.894617212,,0
0.5937916811,,0
0.9368565581,,6.36E+11
0.9976376732,,3.62E+11
0.9878134272,,1.58E+12
0.9991448152,,3.22E+11
0.9734423777,,7.17E+11
0.9921789302,,0
0.08241065308,,2.00E+12
0.9739034623,,1.18E+12
0.8289585786,,1.01E+12
0.3052101681,,82777878519
0.999989529,,9.89E+11
0.9920231398,,6.59E+11
0.3505526532,,0
0.8293230266,,0
0.8252685315,,1.02E+11
0.9348090068,,51356892515
0.840925356,,0
0.7425645647,,2.73E+11
0.9931909925,,5.67E+11
0.9999922874,,67182255875
0.9709380103,,6.57E+11
0.7538294043,,26670482721
0.6762109959,,2.52E+11
0.1562821466,,1.00E+12
0.0004713640884,,8.86E+11
0.5157876664,,2.99E+12
0.3842412828,,2.68E+11
0.6371717966,,4.48E+11
0.3228884553,,0
0.99999622,,6.36E+11
0.9218336491,,5.28E+11
0.686757789,,7.77E+12
0.3454181902,,6.42E+12
0.9641107834,,4.43E+12
0.1089875288,,1.24E+12
0.6154885842,,6.94E+11
0.7329833972,,2.83E+11
0.5427353483,,5.79E+12
0.9541423946,,4.24E+12
0.7555963041,,1.07E+12
0.8860090095,,4.40E+12
0.694054207,,3.47E+11
0.6559388488,,14878658730
0.06398261541,,0
0.9504789087,,4.49E+12
0.8752406389,,5.82E+12
0.8179924973,,1.36E+12
0.0130519565,,6.41E+12
0.9730716229,,6.58E+12
0.9383273292,,1.10E+12
0.9993701606,,1.40E+12
0.6069916854,,4.64E+12
0.9540748262,,6.18E+11
0.4214616504,,0
0.4446487657,,2.93E+12
0.0000002327779288,,84622519100
0.8892932774,,1.06E+12
0.8593574122,,1.19E+13
0.9333176204,,1.65E+12
0.01936109974,,2.87E+11
0.4202295658,,1110916
0.03986760764,,3.51E+11
0.732233696,,2.06E+11
0.4348884317,,884556822.3
0.0000000001016250464,,6.21E+11
0.4607594394,,7.40E+11
0.0728335664,,0
0.4887031082,,2.51E+12
0.4908832916,,1.27E+13
0.878485064,,0
0.9999654379,,3.43E+12
0.9483622375,,0
0.01479049157,,1.48E+11
0.9659816068,,55766320420
0.09586133046,,0
0.005603594298,,15572668890
0.8845363623,,0
0.9709380103,,3.49E+11
0.9324432159,,5.42E+11
0.970329911,,9.67E+12
0.914026408,,0
0.8497388986,,0
0.001457493528,,5.34E+11
0.9903678457,,36017281954
0.9967500673,,4.11E+12
0.9759575668,,1.42E+11
0.9999654379,,1.72E+12
0.008263130831,,2.44E+11
0.8797153606,,0
0.3267419208,,8.27E+11
0.1532214097,,0
0.9941863912,,99718271524
0.9995926123,,3.82E+12
0.4328375646,,8.34E+11
0.9928573133,,83768205031
0.9785597703,,3.22E+11
0.8710287188,,7.48E+11
0.07142513095,,698122084
0.7531866591,,51356892515
0.9077646819,,1.58E+12
0.7886841047,,0
0.2582497748,,0
0.06041869837,,4.53E+12
0.98401158,,90248270982
0.996158748,,1.79E+12
0.9794675699,,3.83E+11
0.9999999875,,1.73E+12
0.9967748165,,23198207152
0.4744480396,,0
0.01380695052,,1.31E+11
0.9926565131,,76615437240
0.9979363187,,0
0.246688812,,2.30E+12
0.01443991214,,32952253956
0.9826894633,,2.74E+12
0.8760909891,,21484342680
0.9999989895,,5.37E+12
0.9906569566,,2.88E+11
0.9353732398,,4.73E+11
0.9915777102,,3.08E+11
0.9087361871,,9.51E+12
0.9789574062,,51134847465
0.9967149998,,32372399249
0.9865653232,,1.90E+12
0.9934210783,,0
0.3176064256,,0
0.497566496,,2.68E+11
0.9999993989,,41570087481
0.5742035564,,1.29E+11
0.981611349,,225
0.9783589917,,0
0.9739615849,,3.83E+12
0.4353683054,,4.70E+11
0.9987629394,,6.84E+12
0.999996953,,16715041052
0.9974519927,,2.03E+11
0.5118325309,,9500251744
0.9829313192,,2.08E+13
0.820839368,,54927532154
0.3270507423,,1.40E+12
0.9671671855,,1.24E+12
0.9967950926,,6.13E+11
0.9999994463,,64796043941
0.9971054901,,6.98E+11
0.7733540627,,5.82E+12
0.2950669568,,0
0.05457848016,,3.99E+11
0.9242528522,,1.07E+13
0.9999997022,,0
0.9681803025,,2.23E+11
0.9999999001,,1.90E+13
0.07985109957,,0
0.7062375238,,6.93E+11
0.8134175462,,3.41E+12
0.00001754412049,,56644
0.9777775215,,1.56E+12
0.5427353483,,0
0.9999986374,,2.17E+12
0.4604805983,,0
0.3499057277,,7.98E+11
0.9587709275,,3.52E+11
0.9928920174,,0
0.996868007,,469910.25
0.7333410051,,1.24E+12
0.6531100524,,8.84E+12
0.9777817401,,8.33E+11
0.05403858536,,6.22E+11
0.8563757352,,50186950513
0.9999974943,,6.90E+12
0.6882629665,,3.77E+13
0.3949897711,,36017281954
0.006705573551,,2.69E+11
0.9967500673,,0
0.871278178,,0
0.852763404,,4.25E+11
0.999999539,,0
0.0006157621584,,41330177704
0.00000058632385,,3.40E+12
0.8914075001,,3.06E+11
0.9939364189,,1.61E+12
0.9999994463,,2576025
0.7425645647,,33586037791
0.7144693286,,0
0.5348328072,,44019577300
0.9987591293,,15289853553
0.9970375428,,7.43E+12
0.9861747067,,2.34E+12
0.9916273625,,6.13E+11
0.9999981547,,2.15E+13
0.001980828621,,72033373883
0.9799567875,,0
0.8994001322,,0
0.9999974943,,5.10E+11
0.04206707666,,7.30E+11
0.9920914827,,84953551603
0.9766845942,,5.87E+12
0.0352482383,,77693683746
0.9984349645,,1.69E+11
0.9949696053,,1.66E+12
0.1628001096,,1.28E+11
0.5414558884,,0
0.2536347676,,7983725542
0.9951585422,,6.86E+11
0.9467920778,,1.22E+11
0.999520461,,60063444057
0.999998231,,1.83E+11
0.948318374,,9.29E+12
0.9993898375,,17836328531
0.4769210268,,7.24E+11
0.9932159643,,170576.1875
0.9967638035,,3.42E+12
0.9986884162,,1.01E+12
0.8166089011,,63618919733
0.9831641035,,0
0.9368565581,,0
0.9974992009,,1.62E+13
0.2582497748,,75361314689
0.1470544489,,7.77E+12
0.7552670356,,0
0.914189028,,4.29E+11
0.0001673538301,,1.19E+13
0.900064898,,0
0.9930130008,,4.25E+11
0.9985145735,,6.57E+12
0.6725847856,,0
0.516348416,,69548347066
0.007388448902,,86650754619
0.8104607719,,1.25E+12
0.9938438948,,0
0.1405142402,,17963531537
0.1613897957,,38630642926
0.7040527007,,1.45E+11
0.9266096737,,19141603888
0.01936109974,,45761171825
0.0143890237,,0
0.9960224679,,1.86E+12
0.9977108697,,2.66E+12
0.9979296347,,34133540027
0.6834716022,,6.84E+11
0.109050183,,83804426078
0.7918603568,,82303359703
0.7037117564,,6.87E+12
0.6492343699,,0
0.2205750192,,1.52E+12
0.975364112,,0
0.1764871891,,9.20E+11
0.9999991493,,3.61E+11
0.3756577841,,6.09E+12
0.4355367253,,1.11E+12
0.9717405253,,4.10E+12
0.9933653875,,1.94E+12
0.00000378164175,,1.20E+12
0.07017994101,,1.24E+12
0.9709286256,,1.26E+13
0.03786388863,,1.78E+11
0.0004242982181,,3.07E+11
0.00000005016120638,,1.00E+13
0.9918374582,,0
0.01648568177,,1.19E+13
0.8440738481,,4.47E+12
0.9225773502,,6.86E+11
0.5325801226,,3.83E+12
0.04812273987,,1.37E+12
0.6942420565,,0
0.3176064256,,0
0.9080437485,,0
0.9734423777,,8.17E+11
0.7886543522,,1.93E+11
0.9537230064,,8.38E+12
0.2695977907,,60063444057
0.9952501452,,1.11E+12
0.9994768817,,3.65E+11
0.998169077,,2.44E+12
0.9920262805,,1.33E+11
0.9974864858,,0
0.5399368858,,3.97E+12
0.9804661773,,0
0.0000004468557532,,57386287069
0.9999973753,,1.14E+13
0.1399218747,,1016595143
0.9587709275,,2.44E+12
0.8946003183,,1.15E+12
0.00000003521354019,,2.08E+12
0.0130519565,,52887284855
0.9333045096,,6.22E+11
0.6510019579,,3.17E+13
0.0005330680255,,1.41E+12
0.9899573657,,7.77E+11
0.9244698966,,0
0.000000005848681011,,2.95E+12
0.0166224188,,3.20E+13
0.9898062259,,3.03E+12
0.1247214444,,9.39E+12
0.9921769624,,72340882056
0.9873383404,,0
0.9974002232,,2.25E+11
0.1753551129,,1.86E+12
0.3152532701,,97790858789
0.1790712242,,6.38E+12
0.08187604568,,2.01E+11
0.6834716022,,0
0.5976231582,,2.37E+11
0.0000000004303986025,,5.85E+12
0.01649118584,,76282434528
0.1916767599,,0
0.9909820365,,1.41E+13
0.9926289637,,1.55E+11
0.933142896,,82777878519
0.9367591646,,40999752472
0.9953495131,,0
0.9951585422,,0
0.0003328258718,,83768205031
0.5462117836,,1.36E+13
0.9999976635,,1.19E+13
0.9992932478,,1.35E+11
0.9941863912,,2.25E+11
0.1999725803,,1.65E+12
0.9866977386,,1.17E+11
0.000002875294902,,2.55E+11
0.997619824,,9.31E+11
0.9229504834,,6578314767
0.7395904989,,7.61E+11
0.1876507041,,5.21E+12
0.002910516068,,0
0.9040609031,,2.69E+11
0.987312634,,1.40E+12
0.006039178487,,2.19E+12
0.9386282785,,1.83E+11
0.000001551044752,,4.10E+12
0.7350984168,,2.03E+11
0.9669726865,,1.69E+12
0.9692936858,,3.48E+11
0.9457505702,,9.02E+11
0.6548124579,,0
0.9527904829,,0
0.7255936796,,3.01E+11
0.9581300662,,5.84E+11
0.996868007,,1.53E+13
0.9987821667,,4.61E+13
0.7467907531,,1.28E+11
0.4214616504,,1.63E+11
0.8110569319,,8.78E+11
0.3274273714,,7644616922
0.7795453074,,4.09E+12
0.437195925,,3.41E+11
0.6619742823,,50186950513
0.5739998666,,2.05E+12
0.9665227707,,1.47E+11
0.9873383404,,1.83E+12
0,,0
0.2201349457,,5.62E+12
0.003671854123,,0
0.602885098,,3.26E+12
0.9696657191,,3.57E+11
0.9999962763,,4.90E+12
0.0001061406035,,0
0.2205750192,,9.80E+11
0.9667432829,,1.58E+12
0.9437488439,,3.45E+11
0.9022549461,,2.37E+11
0.9514556685,,2.04E+12
0.8916398539,,9.45E+11
0.01819624192,,1.46E+11
0.9654122197,,0
0.6459827846,,4.67E+11
0.948318374,,0
0.8674876504,,3.22E+11
0.8888893634,,4.83E+12
0.873590329,,0
0.9826765667,,6585890562
0.9928573133,,3.16E+12
0,,3.22E+11
0.4795920891,,0
0.4822695293,,7.85E+12
0.8368192481,,5.34E+11
0.1495760003,,8.19E+11
0.4705016474,,75361314689
0.7538294043,,7.23E+11
0.9146687475,,486203386.2
0.9999995168,,88762482928
0.8228850249,,76824358799
0.9948435959,,1.09E+12
0.01731500322,,7.71E+11
0.9873017771,,1.20E+13
0.9944674994,,1.60E+12
0.992964261,,0
0.9999208817,,0
0.9500637118,,2.26E+11
0.3861091419,,0
0.4604805983,,2.05E+12
0.4910008717,,4.61E+12
0.000006094675428,,3.85E+12
0.9394088379,,0
0.8722769142,,3.82E+12
0.5178299015,,3.77E+12
0.9899573657,,0
0.02139243511,,2.86E+11
0.9924556499,,0
0.437195925,,6.46E+11
0.9967478427,,3.51E+11
0.003577289809,,1.77E+12
0.894531067,,1.47E+11
0.0000007516932865,,1.35E+11
0.9831011805,,3.16E+12
0.9961108975,,1.81E+12
0.5859410074,,82139728661
0.9760257853,,0
0.4822695293,,6.57E+11
0.9949696053,,92887972922
0.9005906823,,4.53E+12
0.7540697652,,4.69E+12
0.3267419208,,0
0.9954402977,,16715041052
0.9963023727,,0
0.9669815877,,2.61E+11
0.9979363187,,2.47E+12
0.9977514563,,23976357236
0.9994750829,,1.13E+11
0.09697557274,,33716604462
0.9921136975,,62959809392
0.614334255,,0
0.232170711,,29213585079
0.9892174236,,5.13E+11
0.6077283317,,2.83E+11
0.9946240806,,6770029392
0.9686907559,,1.58E+11
0.9586503013,,4.69E+12
0.9973361122,,6.44E+11
0.9558877859,,41342900920
0.9973600315,,1.58E+12
0.9941363848,,0
0.9995251322,,0
0.992710029,,1.95E+11
0.8408293569,,69710146240
0.01254199865,,1.91E+11
0.9801406182,,0
0.3879650384,,3.45E+12
0.999999067,,1.38E+13
0.9979355874,,1.03E+11
0.9966420672,,25811947762
0.7253511531,,4.68E+12
0.9958285889,,33207100319
0.9999992373,,7.73E+11
0.5763858753,,6.04E+11
0.9969521025,,33250507097
0.9924388972,,2.12E+12
0.9764612186,,2.03E+11
0.9803705547,,0
0.8678342204,,3.55E+11
0.9855397245,,0
0.2172043309,,97562326683
0.9906569566,,0
0.9420778574,,2.39E+11
0.9918661191,,4.26E+11
0.8564771351,,7.24E+11
0.9946240806,,1.88E+11
0.9970221168,,0
0.808221483,,7.30E+12
0.3316347481,,1.96E+11
0.5047692787,,0
0.9791569611,,37769839663
0.999996692,,2.32E+11
0.9999984235,,71009584869
0.9615616228,,5.72E+11
0.9895975907,,3.49E+12
0.974517951,,3.86E+12
0.8481648184,,3.57E+11
0.9921815777,,9.38E+11
0.9899652137,,0
0.9949663135,,3.90E+12
0.3861091419,,2.56E+11
0.9999973753,,4.05E+11
0.9999982307,,43239472661
0.9581300662,,4.75E+12
0.9989864196,,56406.25
0.9920832718,,4.88E+12
0.9941272554,,0
0.9808159608,,1.46E+11
0.2060460218,,2.01E+12
0.9999976585,,1.03E+11
0.9536875435,,1.21E+11
0.9861410852,,7.34E+12
0.6853996184,,2.13E+11
0.9931535197,,5.85E+11
0.8994001322,,1.33E+11
0.9999997886,,3.51E+11
0.9930837839,,0
0.9849223405,,3.47E+11
0.9602333427,,58376217271
0.9939616749,,2.40E+11
0.002273133549,,1.79E+11
0.7743807895,,36978310067
0.9399109945,,1.53E+11
0.9004458169,,7.51E+11
0.9999922874,,6.12E+11
0.8879638181,,63560227538
0.9995251322,,6.13E+11
0.8994749671,,0
0.9768920409,,2.81E+11
0.7723532856,,6.55E+12
0.9734976252,,5.67E+11
0.5300118961,,7.23E+11
0.8999781207,,8372524502
0.9956222543,,74877348296
0.9945035891,,3.58E+11
0.8860090095,,1.08E+12
0.9882045466,,1.40E+11
0.8646952961,,9.48E+12
0.9978656924,,4.38E+11
0.9394088379,,5.19E+12
0.9974571987,,6.43E+11
0.7051604614,,5.01E+12
0.5968431717,,5.04E+12
0.9333045096,,0
0.9770010908,,1.05E+12
0.9962252964,,3.44E+12
0.3720117581,,52263903769
0.9871954583,,6.73E+11
0.8110569319,,4.49E+11
0.9882113231,,7425018593
0.0201356781,,2.62E+11
0.8193348169,,0
0.0143890237,,2.01E+12
0.9969135229,,1.15E+12
0.4632765049,,8.78E+11
0.8478070902,,97030801452
0.9991047135,,1.04E+12
0.9810729896,,6770029392
0.1614642816,,3.22E+11
0.9547380134,,0
0.9766845942,,3.67E+11
0.9932373817,,0
0.9960637963,,2.44E+12
0.9527678608,,1.34E+13
0.008263130831,,1.60E+12
0.9778794909,,1.24E+12
0.6621680595,,3.60E+11
0.9651796273,,6.25E+11
0.9999976255,,2.29E+12
0.9087361871,,57225011020
0.9712193964,,50929904361
0.02894882841,,1.22E+11
0.9994738491,,1.10E+12
0.9586503013,,6.64E+11
0.9312613773,,1.47E+11
0.02215422168,,1.30E+13
0.9819893566,,4.01E+11
0.974517951,,7861461198
0.9798297707,,3.48E+12
0.9493280642,,0
0.967286423,,6.41E+11
0.8434947184,,2.99E+11
0.970922327,,1.46E+11
0.961739331,,0
0.9089142278,,3.57E+12
0.9609652108,,2.27E+12
0.9961275199,,7.73E+11
0.5065200918,,5.85E+11
0.9893427897,,3.53E+11
0.2759969525,,1.05E+12
0.9403158053,,7.65E+11
0.9905354095,,1.02E+11
0.9841994787,,1.31E+11
0.9935962646,,0
0.9610658646,,1.13E+12
0.9967149998,,2.08E+12
0.9987627956,,16078992289
0.9973600315,,55251304026
0.9842793376,,2.55E+11
0.9554989755,,1.85E+11
0.9652177343,,6.41E+11
0.9342562973,,7.58E+11
0.9921815777,,6.08E+11
0.8203649448,,3.05E+11
0.8434947184,,1.18E+12
0.9981702552,,2.23E+11
0.9159075557,,7.60E+12
0.989934707,,4.19E+11
0.9886065636,,2.18E+11
0.9857527575,,2.94E+11
0.9989338115,,61394825335
0.9602365066,,0
0.8614673622,,1.13E+11
0.9999994802,,2.39E+11
0.9987640881,,84062384239
0.9923682277,,19504130366
0.3910448432,,2.29E+12
0.9920309506,,8.51E+11
0.9927309161,,3.09E+11
0.9905956603,,1.55E+12
0.09482769238,,6.36E+11
0.0000003972472609,,0
0.01514300082,,2.68E+12
0.6318113755,,8.20E+11
0.2590587662,,3.44E+12
0.5124835657,,0
0.7435031872,,0
0.2588893309,,5.82E+12
0,,0
0,,0
0.955485018,,0
0.05403858536,,6.52E+11
0.5162854125,,70104355124
0.732233696,,0
0.7450455088,,3.11E+12
0.8478070902,,3.50E+12
0.01144967817,,4.28E+13
0.9058239173,,6.12E+11
0.1847688101,,5.22E+12
0.0000007516932865,,1.90E+13
0.1078420708,,5.26E+12
0.06386610303,,2.01E+13
0.8973929087,,0
0.1916767599,,1.14E+12
0.7136126443,,9.21E+12
0,,2.52E+11
0.9022549461,,0
0.5639848707,,8.48E+11
0.9892184955,,8.38E+12
0.9618362687,,1.40E+12
0.05901767191,,7.98E+11
0.00000001513488771,,6.75E+12
0.005951895761,,1.09E+11
0.1430423938,,1.53E+12
0,,7.27E+12
0.04431002946,,1.06E+12
0.000000009175388345,,8.19E+11
0.9983107918,,12774258799
0.4826806958,,3.43E+12
0.9527364381,,0
0.09220114099,,0
0.2010620143,,8.96E+11
0.09165574895,,24798603271
0.7310317558,,0
0.4607594394,,6.50E+11
0.06553187429,,0
0.4330261746,,1.79E+12
0.9973248617,,1.37E+13
0.9367591646,,6.71E+12
0.9193313536,,87116474025
0.03786388863,,24763607026
0.9994650972,,0
0.005498510418,,4.16E+12
0.5937005085,,2.25E+11
0.9959963297,,6.88E+12
0.2311541912,,1.60E+12
0.9673159606,,3.51E+11
0.9367549104,,1349116450
0.9634941207,,6.73E+11
0.9904405632,,1.09E+11
0.2589882515,,31399128545
0.9618362687,,5.05E+11
0.9945341858,,57575810514
0.8593574122,,8.01E+12
0.9999604963,,3.41E+11
0.9999994732,,41149572752
0.9988820646,,1.17E+12
0.05138125454,,1.24E+12
0.873188205,,0
0.5318297732,,4.28E+13
0.9999999778,,2.35E+11
0.9716301759,,1.94E+12
0.9792495388,,30830618982
0.6452895268,,2.81E+11
0.9995725221,,66295539342
0.9959921827,,66893576529
0.08396233817,,1.08E+12
0.7870205202,,0
0.8692903352,,7.17E+11
0.9527678608,,9.39E+12
0.9941975707,,6.07E+11
0.9823366856,,64827611311
0.9909352032,,0
0.06468428986,,77790937171
0.9992932478,,0
0.9999994658,,0
0.9826765667,,5.69E+11
0.983185044,,182.25
0.9999994253,,3516371194
0.9977317542,,1016595143
0.000000009175388345,,1.28E+11
0.9354576462,,1.30E+12
0.9370454501,,3.31E+11
0.9999847498,,53462153828
0.3561540695,,0
0.9991448152,,1.97E+12
0.9982935375,,0
0.4634512497,,2547776100
0.4690841763,,4.49E+12
0.94157684,,1.47E+12
0.8989796939,,9.51E+12
0.7084464744,,1.80E+11
0.07528607457,,1.62E+12
0.5862806538,,0
0.9209651645,,2.97E+12
0.9968776056,,1.02E+12
0.246688812,,1.45E+13
0.9909252676,,0
0.8516458111,,2.37E+12
0.9920231398,,2.08E+12
0.5309945213,,59997660223
0.1821480067,,5.22E+12
0.7962042343,,3.05E+11
0.9885606438,,2.24E+12
0.9992399277,,2.96E+12
0.0000007772827492,,6.49E+11
0.614334255,,72033373883
0.2900513548,,2.66E+12
0.9993411913,,2.64E+11
0.9994860281,,1.66E+13
0.3800576149,,1.39E+12
0.8981724262,,85774889765
0.1739765422,,1.04E+13
0.9977786894,,0
0.808221483,,7.43E+12
0.008260695344,,1.45E+13
0.2804799572,,26278606295
0.02215422168,,1.21E+12
0.6467803773,,2.91E+12
0.9554989755,,4.79E+12
0.1788430152,,0
0.7242554289,,7.14E+11
0.7062375238,,7.17E+11
0.4123195049,,3.82E+12
0.8561336726,,4.38E+11
0.3454181902,,3.43E+12
0.9768920409,,1.58E+13
0.9203586694,,6.50E+11
0.5618766726,,5.42E+12
0.995337489,,2.17E+12
0.5642778686,,2.35E+12
0.9030726101,,1.71E+12
0.9944674994,,0
0.1463043233,,7.54E+11
0.009406359615,,7.85E+11
0.7281889887,,3.45E+12
0.9233123117,,1.09E+12
0.07052135556,,7.63E+12
0.998169077,,1.28E+12
0.9060892094,,2.20E+12
0.8260726959,,32532850969
0.07329445474,,5.75E+12
0.02100864959,,1.91E+12
0.9832927721,,2.57E+12
0.7567105916,,1.17E+11
0.9669726865,,2.40E+11
0.9993038324,,1495871652
0.8029367523,,3.09E+11
0.8755234604,,6.01E+11
0.01869896073,,26370099303
0.2589882515,,2.35E+12
0,,52887284855
0.650267693,,3.41E+11
0.516348416,,4.20E+12
0.5779469951,,8.01E+12
0.9422409382,,26123363295
0.7368910966,,4.69E+12
0.5124835657,,3.49E+12
0.04832711359,,9.29E+12
0.9982016555,,2.10E+12
0.9974529032,,4.19E+12
0.09220114099,,2.45E+12
0.5308802456,,67182255875
0.7911409451,,25092892368
0.9993034426,,3.91E+12
0.7564944879,,6.14E+12
0.2490918076,,5.34E+11
0.9970375428,,1.30E+13
0.06873641659,,2.63E+11
0.8818249576,,1.77E+11
0.7074200832,,1.29E+12
0.7893280721,,1.01E+12
0.6542326102,,3.93E+12
0.6452895268,,1.93E+12
0.970329911,,2.26E+11
0.9792089912,,1.37E+13
0.5915880123,,14878658730
0.2238572614,,0
0.02499108832,,6.51E+11
0.4453709447,,1.34E+11
0.9999989852,,5.78E+12
0.8992237266,,1.05E+13
0.0793977544,,0
0.2225685064,,0
0.8536451882,,1.86E+12
0.02100864959,,3.65E+11
0.4496913877,,3.44E+12
0.968712752,,2.41E+11
0.6170963739,,2.01E+12
0.9999997378,,20820093338
0.9928920174,,2.47E+11
0.04103106836,,6.05E+12
